word,part_of_speech,english_meaning,origin,section
jeune,adjective,young,French,Common French
important,adjective,important,French,Common French
peu,adjective,little/few,French,Common French
public,adjective,public,French,Common French
mauvais,adjective,bad,French,Common French
même,adjective,same,French,Common French
sûr,adjective,sure,French,Common French
clair,adjective,clear,French,Common French
libre,adjective,free,French,Common French
humain,adjective,human,French,Common French
local,adjective,local,French,Common French
tard,adjective,late,French,Common French
dur,adjective,hard/tough,French,Common French
majeur,adjective,major,French,Common French
meilleur,adjective,better/best,French,Common French
bas,adjective,low,French,Common French
facile,adjective,easy,French,Common French
réel,adjective,real,French,Common French
possible,adjective,possible,French,Common French
fort,adjective,strong,French,Common French
plein,adjective,full,French,Common French
spécial,adjective,special,French,Common French
certain,adjective,certain,French,Common French
personnel,adjective,personal,French,Common French
ouvert,adjective,open,French,Common French
rouge,adjective,red,French,Common French
difficile,adjective,difficult,French,Common French
disponible,adjective,available,French,Common French
probable,adjective,probable/likely,French,Common French
court,adjective,short,French,Common French
seul,adjective,alone/only,French,Common French
actuel,adjective,current,French,Common French
faux,adjective,false/wrong,French,Common French
privé,adjective,private,French,Common French
passé,adjective,past,French,Common French
étranger,adjective,foreign,French,Common French
fin,adjective,fine/thin,French,Common French
commun,adjective,common,French,Common French
pauvre,adjective,poor,French,Common French
naturel,adjective,natural,French,Common French
chaud,adjective,hot,French,Common French
mort,adjective,dead,French,Common French
central,adjective,central,French,Common French
heureux,adjective,happy,French,Common French
pas,adverb,not,French,Common French
aussi,adverb,also/too,French,Common French
très,adverb,very,French,Common French
souvent,adverb,often,French,Common French
cependant,adverb,however,French,Common French
trop,adverb,too much,French,Common French
habituellement,adverb,usually,French,Common French
vraiment,adverb,really,French,Common French
tôt,adverb,early,French,Common French
jamais,adverb,never,French,Common French
toujours,adverb,always,French,Common French
parfois,adverb,sometimes,French,Common French
ensemble,adverb,together,French,Common French
probablement,adverb,probably,French,Common French
simplement,adverb,simply,French,Common French
généralement,adverb,generally,French,Common French
encore,adverb,again/still,French,Common French
plutôt,adverb,rather,French,Common French
presque,adverb,almost,French,Common French
surtout,adverb,especially,French,Common French
vite,adverb,quickly,French,Common French
assez,adverb,enough/quite,French,Common French
bientôt,adverb,soon,French,Common French
enfin,adverb,finally,French,Common French
récemment,adverb,recently,French,Common French
particulièrement,adverb,particularly,French,Common French
déjà,adverb,already,French,Common French
ici,adverb,here,French,Common French
là,adverb,there,French,Common French
maintenant,adverb,now,French,Common French
dans,preposition,in,French,Common French
sur,preposition,on,French,Common French
à,preposition,to/at,French,Common French
par,preposition,by,French,Common French
pour,preposition,for,French,Common French
avec,preposition,with,French,Common French
contre,preposition,against,French,Common French
entre,preposition,between,French,Common French
vers,preposition,towards,French,Common French
pendant,preposition,during,French,Common French
avant,preposition,before,French,Common French
après,preposition,after,French,Common French
sous,preposition,under,French,Common French
de,preposition,of/from,French,Common French
depuis,preposition,since/from,French,Common French
chez,preposition,at the home of,French,Common French
sans,preposition,without,French,Common French
malgré,preposition,despite,French,Common French
et,conjunction,and,French,Common French
mais,conjunction,but,French,Common French
ou,conjunction,or,French,Common French
donc,conjunction,so/therefore,French,Common French
si,conjunction,if,French,Common French
parce que,conjunction,because,French,Common French
comme,conjunction,as/like,French,Common French
tandis que,conjunction,while/whereas,French,Common French
bien que,conjunction,although,French,Common French
depuis que,conjunction,since (time),French,Common French
jusqu'à ce que,conjunction,until,French,Common French
à moins que,conjunction,unless,French,Common French
le,determiner,the (masc.),French,Common French
la,determiner,the (fem.),French,Common French
les,determiner,the (plural),French,Common French
un,determiner,a/one (masc.),French,Common French
une,determiner,a/one (fem.),French,Common French
des,determiner,some (plural),French,Common French
du,determiner,some/of the,French,Common French
quelque,determiner,some,French,Common French
tout,determiner,all/every,French,Common French
chaque,determiner,each,French,Common French
aucun,determiner,none/no,French,Common French
tel,determiner,such,French,Common French
